Year,NE,MW,S,W
1/1/2020,57609148,68985454,126266107,78588572
1/1/2010,55317240,66927001,114555744,71945553
1/1/2000,53594378,64392776,100236820,63197932
1/1/1990,50809229,59668632,85445930,52786082
1/1/1980,49135283,58865670,75372362,43172490
1/1/1970,49040703,56571663,62795367,34804193
1/1/1960,44677819,51619139,54973113,28053104
1/1/1950,39477986,44460762,47197088,20189962
1/1/1940,35976777,40143332,41665901,14379119
1/1/1930,34427091,38594100,37857633,12323836
1/1/1920,29662053,34019792,33125803,9213920
1/1/1910,25868573,29888542,29389330,7082086
